example,scenario,sample_type,sample_id,metric,value,better,panel
node_control,random smooth control,random,random_019,cost,59.088503824330246,lower,
node_control,random smooth control,random,random_020,cost,50.468147137371474,lower,
node_control,random smooth control,random,random_021,cost,50.95875851117338,lower,
node_control,random smooth control,random,random_022,cost,53.86112546794464,lower,
node_control,random smooth control,random,random_023,cost,42.759754873670175,lower,
node_control,random smooth control,random,random_024,cost,49.23026022825265,lower,
node_control,random smooth control,random,random_025,cost,57.73746862609984,lower,
node_control,random smooth control,random,random_026,cost,52.83759550765588,lower,
node_control,random smooth control,random,random_027,cost,56.1880684865684,lower,
node_control,random smooth control,random,random_028,cost,53.783560149556,lower,
node_control,random smooth control,random,random_029,cost,52.64307847449902,lower,
node_control,random smooth control,random,random_030,cost,55.73852148543733,lower,
node_control,random smooth control,random,random_031,cost,48.95431973123499,lower,
node_control,random smooth control,random,random_032,cost,50.38257162665609,lower,
node_control,random smooth control,random,random_033,cost,47.57870907501074,lower,
node_control,random smooth control,random,random_034,cost,46.127963166318565,lower,
node_control,random smooth control,random,random_035,cost,50.15340843719589,lower,
node_control,random smooth control,random,random_036,cost,53.49748797688436,lower,
node_control,random smooth control,random,random_037,cost,39.81481323253314,lower,
node_control,random smooth control,random,random_038,cost,49.58953061943429,lower,
node_control,random smooth control,random,random_039,cost,50.40766700519646,lower,
node_control,random smooth control,random,random_040,cost,52.31769191562434,lower,
node_control,random smooth control,random,random_041,cost,50.71494819405426,lower,
node_control,random smooth control,random,random_042,cost,47.927606194244234,lower,
node_control,random smooth control,random,random_043,cost,59.11209116918486,lower,
node_control,random smooth control,random,random_044,cost,43.516323732682,lower,
node_control,random smooth control,random,random_045,cost,44.127285767240814,lower,
node_control,random smooth control,random,random_046,cost,60.750836508691926,lower,
node_control,random smooth control,random,random_047,cost,52.844669842433674,lower,
node_control,random smooth control,random,random_048,cost,55.01201626192636,lower,
node_control,random smooth control,random,random_049,cost,49.350294217445494,lower,
node_control,random smooth control,random,random_050,cost,45.91328731520353,lower,
node_control,random smooth control,random,random_051,cost,40.06355534298618,lower,
node_control,random smooth control,random,random_052,cost,52.247576673267204,lower,
node_control,random smooth control,random,random_053,cost,52.962496235114585,lower,
node_control,random smooth control,random,random_054,cost,48.04364381247312,lower,
node_control,random smooth control,random,random_055,cost,46.77815751727241,lower,
node_control,random smooth control,random,random_056,cost,47.42357757907079,lower,
node_control,random smooth control,random,random_057,cost,42.80070663265281,lower,
node_control,random smooth control,random,random_058,cost,47.50209645210869,lower,
node_control,random smooth control,random,random_059,cost,52.902685611412984,lower,
node_control,random smooth control,random,random_060,cost,40.80522628172043,lower,
node_control,random smooth control,random,random_061,cost,50.81510815276024,lower,
node_control,random smooth control,random,random_062,cost,47.368186803488825,lower,
node_control,random smooth control,random,random_063,cost,56.21486777585394,lower,
node_control,random smooth control,random,random_064,cost,45.098576983582674,lower,
node_control,random smooth control,random,random_065,cost,63.74896538504745,lower,
node_control,random smooth control,random,random_066,cost,49.89594519630522,lower,
node_control,random smooth control,random,random_067,cost,55.38614344694925,lower,
node_control,random smooth control,random,random_068,cost,53.90640756703918,lower,
node_control,random smooth control,random,random_069,cost,49.57976895354138,lower,
node_control,random smooth control,random,random_070,cost,54.72182361487258,lower,
node_control,random smooth control,random,random_071,cost,47.987253012829086,lower,
node_control,random smooth control,random,random_072,cost,48.30992266676537,lower,
node_control,random smooth control,random,random_073,cost,55.75845593308826,lower,
node_control,random smooth control,random,random_074,cost,44.68268066757279,lower,
node_control,random smooth control,random,random_075,cost,60.33843478783113,lower,
degree_game,computed defense,computed,computed_defense,defender payoff,-47.783048400059265,higher,fixed computed attack; vary defense
degree_game,zero defense,deterministic,zero_defense,defender payoff,-57.894053063568705,higher,fixed computed attack; vary defense
degree_game,computed attack,computed,computed_attack,attacker payoff,29.26357446629959,higher,fixed computed defense; vary attack
degree_game,zero attack,deterministic,zero_attack,attacker payoff,24.855804015689504,higher,fixed computed defense; vary attack
