network_model,nodes,edges,attachment_m,repeat,seed,time_grid_steps,max_fbs_iterations,tolerance,model_level,state_dimension,degree_classes,prep_seconds,fbs_seconds,total_seconds,fbs_iterations,final_delta,converged,cost
Barabasi-Albert scale-free,1100,3294,3,1,20262717,35,60,0.0001,degree,39.0,39.0,9.237500000125465e-05,2.5434709580000003,2.5435633330000016,21.0,9.882292953844463e-05,1.0,34.65056980863001
Barabasi-Albert scale-free,1100,3294,3,2,20263717,35,60,0.0001,degree,36.0,36.0,8.94579999979328e-05,2.339343833000001,2.339433290999999,21.0,7.61230925125922e-05,1.0,34.661711367313224
Barabasi-Albert scale-free,1100,3294,3,3,20264717,35,60,0.0001,degree,37.0,37.0,9.041599999903838e-05,2.2756641249999916,2.2757545409999906,21.0,7.61230925125922e-05,1.0,34.65015929118355
Barabasi-Albert scale-free,1200,3594,3,1,20262817,35,60,0.0001,degree,36.0,36.0,9.587499999952342e-05,2.202484291999994,2.2025801669999936,21.0,7.61230925125922e-05,1.0,34.68275337928346
Barabasi-Albert scale-free,1200,3594,3,2,20263817,35,60,0.0001,degree,36.0,36.0,0.0001006659999944759,2.333286292000011,2.3333869580000055,21.0,9.71371023060219e-05,1.0,34.677473186157854
Barabasi-Albert scale-free,1200,3594,3,3,20264817,35,60,0.0001,degree,37.0,37.0,8.987500000046111e-05,2.467239208999999,2.4673290839999993,21.0,7.816729082965601e-05,1.0,34.66067355784546
Barabasi-Albert scale-free,1300,3894,3,1,20262917,35,60,0.0001,degree,38.0,38.0,0.00010079199999779576,3.5491034580000047,3.5492042500000025,21.0,8.30223982644096e-05,1.0,34.66173529897274
Barabasi-Albert scale-free,1300,3894,3,2,20263917,35,60,0.0001,degree,40.0,40.0,9.962500000426644e-05,2.385886417000009,2.385986042000013,21.0,8.549848330474674e-05,1.0,34.67146169806993
Barabasi-Albert scale-free,1300,3894,3,3,20264917,35,60,0.0001,degree,37.0,37.0,0.00011145900000997244,3.0384436249999993,3.0385550840000093,22.0,6.353834877376174e-05,1.0,34.683278158809394
Barabasi-Albert scale-free,1400,4194,3,1,20263017,35,60,0.0001,degree,40.0,40.0,0.00013687499999548436,2.4742100410000063,2.474346916000002,21.0,7.61230925125922e-05,1.0,34.676255660693826
Barabasi-Albert scale-free,1400,4194,3,2,20264017,35,60,0.0001,degree,41.0,41.0,0.00010312499999542979,2.7065869169999957,2.706690041999991,21.0,7.61230925125922e-05,1.0,34.670456526293464
