example,scenario,sample_type,sample_id,metric,value,better,panel
node_control,random smooth control,random,random_019,cost,61.3696999723818,lower,
node_control,random smooth control,random,random_020,cost,52.93512989484797,lower,
node_control,random smooth control,random,random_021,cost,51.63559106604605,lower,
node_control,random smooth control,random,random_022,cost,54.89071564888527,lower,
node_control,random smooth control,random,random_023,cost,44.12925852667634,lower,
node_control,random smooth control,random,random_024,cost,50.5444733495542,lower,
node_control,random smooth control,random,random_025,cost,58.01285887904635,lower,
node_control,random smooth control,random,random_026,cost,53.28955170611562,lower,
node_control,random smooth control,random,random_027,cost,58.19495438892188,lower,
node_control,random smooth control,random,random_028,cost,56.04546566131812,lower,
node_control,random smooth control,random,random_029,cost,52.43713265655849,lower,
node_control,random smooth control,random,random_030,cost,53.74136321589491,lower,
node_control,random smooth control,random,random_031,cost,49.01606990998063,lower,
node_control,random smooth control,random,random_032,cost,50.34723268827054,lower,
node_control,random smooth control,random,random_033,cost,47.84446391462744,lower,
node_control,random smooth control,random,random_034,cost,50.198556935891496,lower,
node_control,random smooth control,random,random_035,cost,49.50496430520173,lower,
node_control,random smooth control,random,random_036,cost,57.060811221228306,lower,
node_control,random smooth control,random,random_037,cost,41.856311638896706,lower,
node_control,random smooth control,random,random_038,cost,52.12374141428809,lower,
node_control,random smooth control,random,random_039,cost,51.8240508521275,lower,
node_control,random smooth control,random,random_040,cost,53.5832638810868,lower,
node_control,random smooth control,random,random_041,cost,52.58240655914649,lower,
node_control,random smooth control,random,random_042,cost,50.44533402829188,lower,
node_control,random smooth control,random,random_043,cost,59.908741170176086,lower,
node_control,random smooth control,random,random_044,cost,49.457741566761435,lower,
node_control,random smooth control,random,random_045,cost,45.4295329629732,lower,
node_control,random smooth control,random,random_046,cost,62.5202291892697,lower,
node_control,random smooth control,random,random_047,cost,58.11671094366954,lower,
node_control,random smooth control,random,random_048,cost,56.14421448322419,lower,
node_control,random smooth control,random,random_049,cost,51.63505393733258,lower,
node_control,random smooth control,random,random_050,cost,45.252597219415435,lower,
node_control,random smooth control,random,random_051,cost,41.73555680121697,lower,
node_control,random smooth control,random,random_052,cost,54.705381171610156,lower,
node_control,random smooth control,random,random_053,cost,53.7756728583524,lower,
node_control,random smooth control,random,random_054,cost,52.68949754249261,lower,
node_control,random smooth control,random,random_055,cost,51.98232358470779,lower,
node_control,random smooth control,random,random_056,cost,50.82315122386416,lower,
node_control,random smooth control,random,random_057,cost,43.813955505459624,lower,
node_control,random smooth control,random,random_058,cost,52.26546623228127,lower,
node_control,random smooth control,random,random_059,cost,53.90714134253496,lower,
node_control,random smooth control,random,random_060,cost,42.84648193187212,lower,
node_control,random smooth control,random,random_061,cost,53.47805948891276,lower,
node_control,random smooth control,random,random_062,cost,47.91031715771831,lower,
node_control,random smooth control,random,random_063,cost,60.44336477800812,lower,
node_control,random smooth control,random,random_064,cost,44.8819962610078,lower,
node_control,random smooth control,random,random_065,cost,64.49052528099375,lower,
node_control,random smooth control,random,random_066,cost,52.584916720340004,lower,
node_control,random smooth control,random,random_067,cost,55.928532691470494,lower,
node_control,random smooth control,random,random_068,cost,54.42034056294124,lower,
node_control,random smooth control,random,random_069,cost,51.189406970420464,lower,
node_control,random smooth control,random,random_070,cost,56.88325831644969,lower,
node_control,random smooth control,random,random_071,cost,47.87581451316835,lower,
node_control,random smooth control,random,random_072,cost,48.920228828224815,lower,
node_control,random smooth control,random,random_073,cost,56.92220905168355,lower,
node_control,random smooth control,random,random_074,cost,47.075959522489356,lower,
node_control,random smooth control,random,random_075,cost,61.05034268390295,lower,
degree_game,computed defense,computed,computed_defense,defender payoff,-53.8380199494746,higher,fixed computed attack; vary defense
degree_game,zero defense,deterministic,zero_defense,defender payoff,-61.05848756645414,higher,fixed computed attack; vary defense
degree_game,computed attack,computed,computed_attack,attacker payoff,36.45954803791002,higher,fixed computed defense; vary attack
degree_game,zero attack,deterministic,zero_attack,attacker payoff,33.48478161846291,higher,fixed computed defense; vary attack
degree_game,random attack,random,random_attack_001,attacker payoff,33.126324757918574,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_001,defender payoff,-57.30603320517374,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_002,attacker payoff,30.192517013478618,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_002,defender payoff,-57.69814733829632,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_003,attacker payoff,31.952250084127286,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_003,defender payoff,-57.46077383652559,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_004,attacker payoff,30.9408152351825,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_004,defender payoff,-56.608169411186715,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_005,attacker payoff,33.09586226272126,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_005,defender payoff,-56.040228421268736,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_006,attacker payoff,32.24425149391596,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_006,defender payoff,-56.37653054995914,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_007,attacker payoff,32.08598320488547,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_007,defender payoff,-56.883230778215804,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_008,attacker payoff,33.10986647354132,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_008,defender payoff,-56.218956016215806,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_009,attacker payoff,31.651058880874793,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_009,defender payoff,-56.33147557155322,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_010,attacker payoff,32.89628131280864,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_010,defender payoff,-57.65968712954884,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_011,attacker payoff,31.727222408842408,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_011,defender payoff,-55.809977550527,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_012,attacker payoff,31.715169116882883,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_012,defender payoff,-58.622717925702595,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_013,attacker payoff,31.639485554252243,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_013,defender payoff,-56.18243959176962,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_014,attacker payoff,31.270382753934694,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_014,defender payoff,-58.01795791827557,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_015,attacker payoff,29.927180915737235,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_015,defender payoff,-56.69102742317499,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_016,attacker payoff,30.181809184298785,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_016,defender payoff,-55.924436175842196,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_017,attacker payoff,30.329398613162923,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_017,defender payoff,-58.20755805904419,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_018,attacker payoff,32.290312081917364,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_018,defender payoff,-58.13507184140495,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_019,attacker payoff,31.97588839798129,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_019,defender payoff,-58.28054371493916,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_020,attacker payoff,32.15052325001908,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_020,defender payoff,-58.616347521428644,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_021,attacker payoff,31.226885943357484,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_021,defender payoff,-57.603293921624186,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_022,attacker payoff,32.4784784692729,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_022,defender payoff,-59.08841280626102,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_023,attacker payoff,29.23659206218224,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_023,defender payoff,-58.27406968115178,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_024,attacker payoff,29.89787360090168,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_024,defender payoff,-56.92243547225793,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_025,attacker payoff,32.00437512875007,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_025,defender payoff,-58.62246929904814,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_026,attacker payoff,32.776512544143316,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_026,defender payoff,-57.48800931718671,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_027,attacker payoff,30.396134731058837,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_027,defender payoff,-56.58229262878651,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_028,attacker payoff,29.66591517504085,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_028,defender payoff,-59.156262182272506,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_029,attacker payoff,30.882452245968913,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_029,defender payoff,-57.79554470646468,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_030,attacker payoff,32.92097633238575,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_030,defender payoff,-56.4701392492074,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_031,attacker payoff,31.04265930712283,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_031,defender payoff,-59.5184340741404,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_032,attacker payoff,32.71453198146936,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_032,defender payoff,-56.38071675118855,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_033,attacker payoff,29.4575291848691,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_033,defender payoff,-58.62959196331131,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_034,attacker payoff,30.331210002357793,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_034,defender payoff,-57.726124331736465,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_035,attacker payoff,30.419225181090233,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_035,defender payoff,-55.65553719379316,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_036,attacker payoff,30.945921131266736,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_036,defender payoff,-59.13938147451821,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_037,attacker payoff,29.298392200326205,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_037,defender payoff,-57.23321585314794,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_038,attacker payoff,30.57508390213885,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_038,defender payoff,-57.59515459490206,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_039,attacker payoff,33.61517094889965,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_039,defender payoff,-57.45317430908009,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_040,attacker payoff,30.27953454074214,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_040,defender payoff,-58.46599020004046,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_041,attacker payoff,29.79860862619007,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_041,defender payoff,-57.44175805845729,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_042,attacker payoff,31.812031871648113,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_042,defender payoff,-59.7149942973687,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_043,attacker payoff,31.191551001196306,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_043,defender payoff,-57.15803308078851,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_044,attacker payoff,31.780355242389657,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_044,defender payoff,-56.44580722309612,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_045,attacker payoff,31.048301333462692,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_045,defender payoff,-56.6717768147455,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_046,attacker payoff,30.953036178262447,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_046,defender payoff,-58.018944330164935,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_047,attacker payoff,28.999087054564583,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_047,defender payoff,-57.29457536454045,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_048,attacker payoff,33.260270465334756,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_048,defender payoff,-57.83806980374763,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_049,attacker payoff,31.733587387848424,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_049,defender payoff,-56.58276647212105,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_050,attacker payoff,32.90920875935899,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_050,defender payoff,-57.04267251612191,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_051,attacker payoff,31.515170510657867,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_051,defender payoff,-57.368505969894784,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_052,attacker payoff,33.005837293886195,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_052,defender payoff,-57.79134593182741,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_053,attacker payoff,30.52086963352088,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_053,defender payoff,-57.917591813739165,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_054,attacker payoff,29.577800032583127,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_054,defender payoff,-57.55419546822675,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_055,attacker payoff,28.95490395538799,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_055,defender payoff,-56.54178079477879,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_056,attacker payoff,32.345655100349646,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_056,defender payoff,-57.27849076055513,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_057,attacker payoff,26.994153460395054,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_057,defender payoff,-57.210862442655596,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_058,attacker payoff,30.247079410328446,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_058,defender payoff,-56.34372916955392,higher,fixed computed attack; vary defense
