example,scenario,sample_type,sample_id,metric,value,better,panel
node_control,random smooth control,random,random_019,cost,61.369700033686954,lower,
node_control,random smooth control,random,random_020,cost,52.93512988987106,lower,
node_control,random smooth control,random,random_021,cost,51.63559786493477,lower,
node_control,random smooth control,random,random_022,cost,54.89071580212709,lower,
node_control,random smooth control,random,random_023,cost,44.129252698606436,lower,
node_control,random smooth control,random,random_024,cost,50.544487310460326,lower,
node_control,random smooth control,random,random_025,cost,58.01285887535346,lower,
node_control,random smooth control,random,random_026,cost,53.28955063262201,lower,
node_control,random smooth control,random,random_027,cost,58.19495573038316,lower,
node_control,random smooth control,random,random_028,cost,56.045464451913325,lower,
node_control,random smooth control,random,random_029,cost,52.437132656455546,lower,
node_control,random smooth control,random,random_030,cost,53.741363215896655,lower,
node_control,random smooth control,random,random_031,cost,49.0160699118515,lower,
node_control,random smooth control,random,random_032,cost,50.34723268902993,lower,
node_control,random smooth control,random,random_033,cost,47.844463927399445,lower,
node_control,random smooth control,random,random_034,cost,50.198556936946225,lower,
node_control,random smooth control,random,random_035,cost,49.504964297649295,lower,
node_control,random smooth control,random,random_036,cost,57.06081123514876,lower,
node_control,random smooth control,random,random_037,cost,41.856311638849405,lower,
node_control,random smooth control,random,random_038,cost,52.12374141184286,lower,
node_control,random smooth control,random,random_039,cost,51.82405085218251,lower,
node_control,random smooth control,random,random_040,cost,53.583263880772165,lower,
node_control,random smooth control,random,random_041,cost,52.58240659439281,lower,
node_control,random smooth control,random,random_042,cost,50.4453328970432,lower,
node_control,random smooth control,random,random_043,cost,59.90874177742807,lower,
node_control,random smooth control,random,random_044,cost,49.457741475903376,lower,
node_control,random smooth control,random,random_045,cost,45.42952667306729,lower,
node_control,random smooth control,random,random_046,cost,62.52022920053079,lower,
node_control,random smooth control,random,random_047,cost,58.11671094308561,lower,
node_control,random smooth control,random,random_048,cost,56.144214552907705,lower,
node_control,random smooth control,random,random_049,cost,51.63505014185928,lower,
node_control,random smooth control,random,random_050,cost,45.252597212349656,lower,
node_control,random smooth control,random,random_051,cost,41.73555655332918,lower,
node_control,random smooth control,random,random_052,cost,54.70538116082856,lower,
node_control,random smooth control,random,random_053,cost,53.775672853305366,lower,
node_control,random smooth control,random,random_054,cost,52.68949754249741,lower,
node_control,random smooth control,random,random_055,cost,51.982323582374164,lower,
node_control,random smooth control,random,random_056,cost,50.82313812945834,lower,
node_control,random smooth control,random,random_057,cost,43.813955495925086,lower,
node_control,random smooth control,random,random_058,cost,52.265466232337296,lower,
node_control,random smooth control,random,random_059,cost,53.90714127268153,lower,
node_control,random smooth control,random,random_060,cost,42.84643842378837,lower,
node_control,random smooth control,random,random_061,cost,53.47805871010189,lower,
node_control,random smooth control,random,random_062,cost,47.91031688494253,lower,
node_control,random smooth control,random,random_063,cost,60.44336556747675,lower,
node_control,random smooth control,random,random_064,cost,44.881996261011324,lower,
node_control,random smooth control,random,random_065,cost,64.49052528099548,lower,
node_control,random smooth control,random,random_066,cost,52.58491673663344,lower,
node_control,random smooth control,random,random_067,cost,55.92853269150756,lower,
node_control,random smooth control,random,random_068,cost,54.420340549692185,lower,
node_control,random smooth control,random,random_069,cost,51.189425467925574,lower,
node_control,random smooth control,random,random_070,cost,56.8832772353536,lower,
node_control,random smooth control,random,random_071,cost,47.87581451315914,lower,
node_control,random smooth control,random,random_072,cost,48.920228652671746,lower,
node_control,random smooth control,random,random_073,cost,56.922209051088146,lower,
node_control,random smooth control,random,random_074,cost,47.075959457195964,lower,
node_control,random smooth control,random,random_075,cost,61.050342684485116,lower,
degree_game,computed defense,computed,computed_defense,defender payoff,-53.837886998586704,higher,fixed computed attack; vary defense
degree_game,zero defense,deterministic,zero_defense,defender payoff,-61.058454253256016,higher,fixed computed attack; vary defense
degree_game,computed attack,computed,computed_attack,attacker payoff,36.45944506152265,higher,fixed computed defense; vary attack
degree_game,zero attack,deterministic,zero_attack,attacker payoff,33.48462781281418,higher,fixed computed defense; vary attack
degree_game,random attack,random,random_attack_001,attacker payoff,33.126313762189476,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_001,defender payoff,-57.30627177794593,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_002,attacker payoff,30.19248654207222,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_002,defender payoff,-57.698067341940956,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_003,attacker payoff,31.952399682685805,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_003,defender payoff,-57.46081803355223,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_004,attacker payoff,30.940821148146966,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_004,defender payoff,-56.6085298360224,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_005,attacker payoff,33.09581173459486,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_005,defender payoff,-56.04005400704327,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_006,attacker payoff,32.24416313618458,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_006,defender payoff,-56.376501458558,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_007,attacker payoff,32.08598025468764,higher,fixed computed defense; vary attack
