network_model,nodes,edges,attachment_m,repeat,seed,time_grid_steps,max_fbs_iterations,tolerance,model_level,solver_type,state_dimension,degree_classes,matrix_nonzeros,prep_seconds,fbs_seconds,total_seconds,fbs_iterations,final_delta,converged,cost,horizon,beta,delta,state_weight,control_weight,control_max,damping,mean_initial_state,mean_final_state,mean_control,max_control
Barabasi-Albert scale-free,900,2694,3,1,20262517,35,60,0.0001,degree,adaptive_solve_ivp,34.0,34.0,,9.004200000362061e-05,2.486111874999999,2.4862019170000025,21.0,7.61230925125922e-05,1.0,34.65211549668951,,,,,,,,,,,
Barabasi-Albert scale-free,900,2694,3,2,20263517,35,60,0.0001,degree,adaptive_solve_ivp,38.0,38.0,,8.700000000061436e-05,2.708539917000003,2.7086269170000037,21.0,9.844646148654546e-05,1.0,34.661638045414314,,,,,,,,,,,
Barabasi-Albert scale-free,900,2694,3,3,20264517,35,60,0.0001,degree,adaptive_solve_ivp,35.0,35.0,,9.004200000362061e-05,2.362901083000004,2.3629911250000077,21.0,7.61230925125922e-05,1.0,34.716280223977904,,,,,,,,,,,
Barabasi-Albert scale-free,1000,2994,3,1,20262617,35,60,0.0001,degree,adaptive_solve_ivp,32.0,32.0,,0.00010004199999968932,2.6031392919999945,2.603239333999994,21.0,7.61230925125922e-05,1.0,34.67049932040313,,,,,,,,,,,
Barabasi-Albert scale-free,1000,2994,3,2,20263617,35,60,0.0001,degree,adaptive_solve_ivp,35.0,35.0,,8.38750000013988e-05,2.460387540999996,2.460471415999997,21.0,9.257496354297956e-05,1.0,34.73647964333095,,,,,,,,,,,
Barabasi-Albert scale-free,1000,2994,3,3,20264617,35,60,0.0001,degree,adaptive_solve_ivp,37.0,37.0,,9.750000000252612e-05,3.1299311659999915,3.130028665999994,21.0,7.61230925125922e-05,1.0,34.629968130032864,,,,,,,,,,,
Barabasi-Albert scale-free,1100,3294,3,1,20262717,35,60,0.0001,degree,adaptive_solve_ivp,39.0,39.0,,9.570800000346935e-05,2.849529000000004,2.8496247080000074,21.0,7.61230925125922e-05,1.0,34.650569771661885,,,,,,,,,,,
Barabasi-Albert scale-free,1100,3294,3,2,20263717,35,60,0.0001,degree,adaptive_solve_ivp,36.0,36.0,,0.00012595900000178517,2.582584957999998,2.582710917,21.0,7.61230925125922e-05,1.0,34.66171178017363,,,,,,,,,,,
Barabasi-Albert scale-free,1100,3294,3,3,20264717,35,60,0.0001,degree,adaptive_solve_ivp,37.0,37.0,,9.149999999635838e-05,2.483226916999996,2.4833184169999925,21.0,7.61230925125922e-05,1.0,34.65015615204663,,,,,,,,,,,
Barabasi-Albert scale-free,1200,3594,3,1,20262817,35,60,0.0001,degree,adaptive_solve_ivp,36.0,36.0,,8.879199999967113e-05,2.4116381669999924,2.411726958999992,21.0,7.61230925125922e-05,1.0,34.68275405054598,,,,,,,,,,,
Barabasi-Albert scale-free,1200,3594,3,2,20263817,35,60,0.0001,degree,adaptive_solve_ivp,36.0,36.0,,8.937500000172349e-05,2.6140800840000082,2.61416945900001,21.0,9.797363181984764e-05,1.0,34.677473174640696,,,,,,,,,,,
Barabasi-Albert scale-free,1200,3594,3,3,20264817,35,60,0.0001,degree,adaptive_solve_ivp,37.0,37.0,,9.76249999951051e-05,2.7314639589999956,2.7315615839999907,21.0,7.61230925125922e-05,1.0,34.66067388340621,,,,,,,,,,,
Barabasi-Albert scale-free,1300,3894,3,1,20262917,35,60,0.0001,degree,adaptive_solve_ivp,38.0,38.0,,9.80840000011085e-05,3.9366793340000044,3.9367774180000055,21.0,8.530855689642403e-05,1.0,34.661735635668,,,,,,,,,,,
Barabasi-Albert scale-free,1300,3894,3,2,20263917,35,60,0.0001,degree,adaptive_solve_ivp,40.0,40.0,,0.00010999999999228294,2.6801533750000033,2.6802633749999956,21.0,7.61230925125922e-05,1.0,34.67146131762564,,,,,,,,,,,
Barabasi-Albert scale-free,1300,3894,3,3,20264917,35,60,0.0001,degree,adaptive_solve_ivp,37.0,37.0,,9.733299999936662e-05,3.2088205000000016,3.208917833000001,21.0,9.063052408481154e-05,1.0,34.683265909807616,,,,,,,,,,,
Barabasi-Albert scale-free,1400,4194,3,1,20263017,35,60,0.0001,degree,adaptive_solve_ivp,40.0,40.0,,0.00010387500000774708,2.769042541999994,2.7691464170000017,21.0,7.61230925125922e-05,1.0,34.67625566070465,,,,,,,,,,,
Barabasi-Albert scale-free,1400,4194,3,2,20264017,35,60,0.0001,degree,adaptive_solve_ivp,41.0,41.0,,0.00010262499999669217,3.0188046669999977,3.0189072919999944,21.0,7.61230925125922e-05,1.0,34.6704567595258,,,,,,,,,,,
Barabasi-Albert scale-free,1400,4194,3,3,20265017,35,60,0.0001,degree,adaptive_solve_ivp,39.0,39.0,,9.662499999762986e-05,3.617148125,3.6172447499999976,22.0,7.092804207942116e-05,1.0,34.660746896602674,,,,,,,,,,,
Barabasi-Albert scale-free,1500,4494,3,1,20263117,35,60,0.0001,degree,adaptive_solve_ivp,41.0,41.0,,0.00010658399999385892,2.9540428330000026,2.9541494169999964,21.0,7.61230925125922e-05,1.0,34.654679452390205,,,,,,,,,,,
Barabasi-Albert scale-free,1500,4494,3,2,20264117,35,60,0.0001,degree,adaptive_solve_ivp,40.0,40.0,,0.00010795800000096278,3.1866552919999975,3.1867632499999985,21.0,7.61230925125922e-05,1.0,34.669574497511505,,,,,,,,,,,
Barabasi-Albert scale-free,1500,4494,3,3,20265117,35,60,0.0001,degree,adaptive_solve_ivp,41.0,41.0,,0.00012270800000635518,2.850447625000001,2.8505703330000074,21.0,7.61230925125922e-05,1.0,34.67942542020877,,,,,,,,,,,
Barabasi-Albert scale-free,1600,4794,3,1,20263217,35,60,0.0001,degree,adaptive_solve_ivp,41.0,41.0,,0.0001110420000003387,3.1313853749999936,3.131496416999994,21.0,7.61230925125922e-05,1.0,34.63873841447088,,,,,,,,,,,
Barabasi-Albert scale-free,1600,4794,3,2,20264217,35,60,0.0001,degree,adaptive_solve_ivp,39.0,39.0,,0.00011512500000776527,2.6530857089999955,2.6532008340000033,21.0,8.007734491749519e-05,1.0,34.69599464076486,,,,,,,,,,,
