repo,iteration,metric,value
PropagandaWar_TIFS_2024_Code,7,blue_payoff_change,0.09311860155351326
PropagandaWar_TIFS_2024_Code,8,blue_payoff_change,0.0022266376250783537
PropagandaWar_TIFS_2024_Code,9,blue_payoff_change,0.025490942282388573
PropagandaWar_TIFS_2024_Code,10,blue_payoff_change,0.012182270727201683
PropagandaWar_TIFS_2024_Code,11,blue_payoff_change,0.006922558590815697
PropagandaWar_TIFS_2024_Code,12,blue_payoff_change,0.006216698862036907
PropagandaWar_TIFS_2024_Code,13,blue_payoff_change,0.005201063591051991
PropagandaWar_TIFS_2024_Code,14,blue_payoff_change,0.004405099008494062
PropagandaWar_TIFS_2024_Code,15,blue_payoff_change,0.003829927433439906
PropagandaWar_TIFS_2024_Code,16,blue_payoff_change,0.003176825830749408
PropagandaWar_TIFS_2024_Code,17,blue_payoff_change,0.0027195430368252005
PropagandaWar_TIFS_2024_Code,18,blue_payoff_change,0.0022563029928974743
PropagandaWar_TIFS_2024_Code,19,blue_payoff_change,0.0019566604738585625
PropagandaWar_TIFS_2024_Code,20,blue_payoff_change,0.0016907616347552334
PropagandaWar_TIFS_2024_Code,21,blue_payoff_change,0.0014508392782133228
PropagandaWar_TIFS_2024_Code,22,blue_payoff_change,0.0011750240243486587
PropagandaWar_TIFS_2024_Code,23,blue_payoff_change,0.0010033149317862922
PropagandaWar_TIFS_2024_Code,24,blue_payoff_change,0.0008440534974774039
PropagandaWar_TIFS_2024_Code,25,blue_payoff_change,0.000722824992426041
PropagandaWar_TIFS_2024_Code,26,blue_payoff_change,0.00044103185793886723
PropagandaWar_TIFS_2024_Code,27,blue_payoff_change,0.0003772996580977406
PropagandaWar_TIFS_2024_Code,28,blue_payoff_change,0.00032244869347053395
PropagandaWar_TIFS_2024_Code,29,blue_payoff_change,0.00027533755753239575
PropagandaWar_TIFS_2024_Code,30,blue_payoff_change,0.00023494214828545523
PropagandaWar_TIFS_2024_Code,31,blue_payoff_change,0.00020035341028901144
PropagandaWar_TIFS_2024_Code,32,blue_payoff_change,0.00017077100999074446
PropagandaWar_TIFS_2024_Code,33,blue_payoff_change,0.00014549483608661262
PropagandaWar_TIFS_2024_Code,34,blue_payoff_change,0.00012391555320689918
PropagandaWar_TIFS_2024_Code,35,blue_payoff_change,0.00010550498906880534
PropagandaWar_TIFS_2024_Code,36,blue_payoff_change,8.980683231385456e-05
