time,mean_sa,mean_su,mean_r,ca,cu
0.0,0.45,0.3,0.08,0.0,0.0
0.02,0.45000252,0.29999117999999997,0.08000704,0.0,0.0
0.04,0.4500050390616681,0.29998235975947585,0.0800140806987872,0.0,0.0
0.06,0.45000755718496355,0.29997353927849746,0.0800211220963977,0.0,0.0
0.08,0.4500100743698456,0.2999647185571346,0.08002816419286762,0.0,0.0
0.1,0.45001259061627374,0.29995589759545704,0.08003520698823309,0.0,0.0
0.12,0.450015105924207,0.2999470763935345,0.0800422504825302,0.0,0.0
0.14,0.450017620293605,0.2999382549514369,0.0800492946757951,0.0,0.0
0.16,0.4500201337244268,0.29992943326923394,0.08005633956806386,0.0,0.0
0.18,0.45002264621663174,0.2999206113469953,0.08006338515937261,0.0,0.0
0.2,0.27133869806731387,0.18063109484002265,0.25964832074490657,1.8,2.2
0.22,0.2713343282716317,0.18062724697786509,0.25966002943409067,0.0,0.0
0.24,0.27132995769795165,0.18062339877920594,0.2596717384917713,0.0,0.0
0.26,0.271325586346325,0.18061955024410195,0.2596834479178794,0.0,0.0
0.28,0.27132121421680294,0.18061570137260974,0.25969515771234614,0.0,0.0
0.3,0.27131684130943673,0.18061185216478606,0.2597068678751025,0.0,0.0
0.32,0.2713124676242775,0.18060800262068757,0.2597185784060796,0.0,0.0
0.34,0.2713080931613766,0.18060415274037098,0.25973028930520853,0.0,0.0
0.36,0.2713037179207851,0.18060030252389292,0.2597420005724203,0.0,0.0
0.38,0.2712993419025544,0.18059645197131008,0.259753712207646,0.0,0.0
0.4,0.16357490543200237,0.10876744572875922,0.3679731915611122,1.8,2.2
0.42,0.16357012926196188,0.10876565834512825,0.3679802672213114,0.0,0.0
0.44,0.16356535294098953,0.10876387086971602,0.36798734271910716,0.0,0.0
0.46,0.16356057646912267,0.10876208330254178,0.3679944180544603,0.0,0.0
0.48,0.16355579984639848,0.10876029564362473,0.3680014932273321,0.0,0.0
0.5,0.1635510230728543,0.10875850789298408,0.3680085682376834,0.0,0.0
0.52,0.1635462461485274,0.10875672005063905,0.36801564308547524,0.0,0.0
0.54,0.1635414690734551,0.10875493211660887,0.36802271777066853,0.0,0.0
0.56,0.1635366918476746,0.10875314409091275,0.36802979229322436,0.0,0.0
0.58,0.16353191447122328,0.10875135597356987,0.36803686665310364,0.0,0.0
0.6,0.09859724433396579,0.06549777033471482,0.43324257132543775,1.8,2.2
0.62,0.09859358779806005,0.06549688644882656,0.43324414773293335,0.0,0.0
0.64,0.09858993137320936,0.06549600258729432,0.4332457238650598,0.0,0.0
0.66,0.09858627505941879,0.06549511875012202,0.43324729972182074,0.0,0.0
0.68,0.09858261885669344,0.06549423493731356,0.4332488753032199,0.0,0.0
0.7000000000000001,0.09857896276503833,0.0654933511488728,0.43325045060926126,0.0,0.0
0.72,0.0985753067844586,0.06549246738480367,0.43325202563994825,0.0,0.0
0.74,0.09857165091495923,0.06549158364511005,0.43325360039528504,0.0,0.0
0.76,0.09856799515654535,0.06549069992979589,0.433255174875275,0.0,0.0
0.78,0.098564339509222,0.06548981623886502,0.4332567490799223,0.0,0.0
0.8,0.05942629474842301,0.03944272288394163,0.472541188178797,1.8,2.2
0.8200000000000001,0.05942380904207304,0.03944226080311627,0.472538467955235,0.0,0.0
0.84,0.05942132349490026,0.03944179877445298,0.4725357475351728,0.0,0.0
0.86,0.059418838106895085,0.03944133679795112,0.47253302691862986,0.0,0.0
0.88,0.05941635287804796,0.039440874873610046,0.4725303061056261,0.0,0.0
0.9,0.05941386780834932,0.03944041300142913,0.4725275850961809,0.0,0.0
0.92,0.05941138289778959,0.0394399511814077,0.4725248638903142,0.0,0.0
0.9400000000000001,0.059408898146359204,0.03943948941354512,0.4725221424880454,0.0,0.0
0.96,0.05940641355404861,0.03943902769784076,0.47251942088939425,0.0,0.0
0.98,0.05940392912084822,0.03943856603429396,0.47251669909438043,0.0,0.0
1.0,0.05940144484674849,0.039438104422904074,0.4725139771030237,0.0,0.0
