example,scenario,sample_type,sample_id,metric,value,better,panel
node_control,random smooth control,random,random_019,cost,59.088503824894815,lower,
node_control,random smooth control,random,random_020,cost,50.46814715934161,lower,
node_control,random smooth control,random,random_021,cost,50.95875851114067,lower,
node_control,random smooth control,random,random_022,cost,53.86112556213851,lower,
node_control,random smooth control,random,random_023,cost,42.75975487540922,lower,
node_control,random smooth control,random,random_024,cost,49.230260229886724,lower,
node_control,random smooth control,random,random_025,cost,57.73746861558734,lower,
node_control,random smooth control,random,random_026,cost,52.837595884063035,lower,
node_control,random smooth control,random,random_027,cost,56.18806848633096,lower,
node_control,random smooth control,random,random_028,cost,53.783551828333,lower,
node_control,random smooth control,random,random_029,cost,52.64307847510945,lower,
node_control,random smooth control,random,random_030,cost,55.73852148543614,lower,
node_control,random smooth control,random,random_031,cost,48.95431655006381,lower,
node_control,random smooth control,random,random_032,cost,50.3825716251599,lower,
node_control,random smooth control,random,random_033,cost,47.57870499547809,lower,
node_control,random smooth control,random,random_034,cost,46.127962565747,lower,
node_control,random smooth control,random,random_035,cost,50.15340843679226,lower,
node_control,random smooth control,random,random_036,cost,53.49744562266031,lower,
node_control,random smooth control,random,random_037,cost,39.81481324798706,lower,
node_control,random smooth control,random,random_038,cost,49.58953061934687,lower,
node_control,random smooth control,random,random_039,cost,50.407666983366184,lower,
node_control,random smooth control,random,random_040,cost,52.31769191650501,lower,
node_control,random smooth control,random,random_041,cost,50.7149481858911,lower,
node_control,random smooth control,random,random_042,cost,47.92760615014201,lower,
node_control,random smooth control,random,random_043,cost,59.11209116923675,lower,
node_control,random smooth control,random,random_044,cost,43.51632368967505,lower,
node_control,random smooth control,random,random_045,cost,44.12728584892436,lower,
node_control,random smooth control,random,random_046,cost,60.750836511583486,lower,
node_control,random smooth control,random,random_047,cost,52.84466984028337,lower,
node_control,random smooth control,random,random_048,cost,55.01201487990933,lower,
node_control,random smooth control,random,random_049,cost,49.35029656663258,lower,
node_control,random smooth control,random,random_050,cost,45.91328759164338,lower,
node_control,random smooth control,random,random_051,cost,40.06355530209943,lower,
node_control,random smooth control,random,random_052,cost,52.247575975665875,lower,
node_control,random smooth control,random,random_053,cost,52.96249623520151,lower,
node_control,random smooth control,random,random_054,cost,48.04364381237714,lower,
node_control,random smooth control,random,random_055,cost,46.77815751291271,lower,
node_control,random smooth control,random,random_056,cost,47.42357757974316,lower,
node_control,random smooth control,random,random_057,cost,42.80070985307299,lower,
node_control,random smooth control,random,random_058,cost,47.50209645199243,lower,
node_control,random smooth control,random,random_059,cost,52.902685493035264,lower,
node_control,random smooth control,random,random_060,cost,40.805247969530626,lower,
node_control,random smooth control,random,random_061,cost,50.81512059728358,lower,
node_control,random smooth control,random,random_062,cost,47.368186768930975,lower,
node_control,random smooth control,random,random_063,cost,56.214867778651374,lower,
node_control,random smooth control,random,random_064,cost,45.098577228398455,lower,
node_control,random smooth control,random,random_065,cost,63.748965384549024,lower,
node_control,random smooth control,random,random_066,cost,49.895945195521854,lower,
node_control,random smooth control,random,random_067,cost,55.38614326620213,lower,
node_control,random smooth control,random,random_068,cost,53.906407539722736,lower,
node_control,random smooth control,random,random_069,cost,49.579768953554634,lower,
node_control,random smooth control,random,random_070,cost,54.72182361485884,lower,
node_control,random smooth control,random,random_071,cost,47.98725301286981,lower,
node_control,random smooth control,random,random_072,cost,48.30992275947068,lower,
node_control,random smooth control,random,random_073,cost,55.75845605984976,lower,
node_control,random smooth control,random,random_074,cost,44.68267018322318,lower,
node_control,random smooth control,random,random_075,cost,60.33843478880889,lower,
degree_game,computed defense,computed,computed_defense,defender payoff,-47.78309976334233,higher,fixed computed attack; vary defense
degree_game,zero defense,deterministic,zero_defense,defender payoff,-57.89404855081303,higher,fixed computed attack; vary defense
degree_game,computed attack,computed,computed_attack,attacker payoff,29.263630232259658,higher,fixed computed defense; vary attack
degree_game,zero attack,deterministic,zero_attack,attacker payoff,24.855879677499434,higher,fixed computed defense; vary attack
degree_game,random attack,random,random_attack_001,attacker payoff,25.52967018182269,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_001,defender payoff,-52.14349643172535,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_002,attacker payoff,25.26194123646883,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_002,defender payoff,-52.26454544236595,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_003,attacker payoff,24.30310014714007,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_003,defender payoff,-52.25622219344265,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_004,attacker payoff,24.356576776368108,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_004,defender payoff,-50.793249230391574,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_005,attacker payoff,26.07109519172375,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_005,defender payoff,-51.21698828388094,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_006,attacker payoff,26.054124182143404,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_006,defender payoff,-50.72223391544025,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_007,attacker payoff,26.18133460428002,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_007,defender payoff,-51.2430181555525,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_008,attacker payoff,25.850750299694635,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_008,defender payoff,-52.36088486044465,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_009,attacker payoff,25.444496616583837,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_009,defender payoff,-50.08592690080005,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_010,attacker payoff,24.20922459378553,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_010,defender payoff,-50.99794059916571,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_011,attacker payoff,27.15306167376743,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_011,defender payoff,-50.50659883560975,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_012,attacker payoff,25.18905505930614,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_012,defender payoff,-50.6216697993906,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_013,attacker payoff,24.42864196245288,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_013,defender payoff,-51.137238467113995,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_014,attacker payoff,26.428015770017623,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_014,defender payoff,-50.8104412985346,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_015,attacker payoff,24.11210894065633,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_015,defender payoff,-51.85431645413882,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_016,attacker payoff,25.309970953493956,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_016,defender payoff,-53.16902864413602,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_017,attacker payoff,26.119818379562098,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_017,defender payoff,-50.96444887063961,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_018,attacker payoff,26.50042609495994,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_018,defender payoff,-53.36673669140216,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_019,attacker payoff,25.500116447584123,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_019,defender payoff,-50.71126842888615,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_020,attacker payoff,25.496285322781958,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_020,defender payoff,-49.60572794856462,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_021,attacker payoff,24.582175837224142,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_021,defender payoff,-50.90208235737515,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_022,attacker payoff,24.45754742748529,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_022,defender payoff,-51.42672468627558,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_023,attacker payoff,24.959369731050256,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_023,defender payoff,-51.30361416307163,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_024,attacker payoff,26.14494125827184,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_024,defender payoff,-50.38028368926036,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_025,attacker payoff,22.812773702307698,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_025,defender payoff,-52.47717967015002,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_026,attacker payoff,24.682021980837945,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_026,defender payoff,-50.69266279700552,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_027,attacker payoff,25.227360064554784,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_027,defender payoff,-51.687862245390114,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_028,attacker payoff,27.17071235857767,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_028,defender payoff,-50.220405006863736,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_029,attacker payoff,23.16528095077497,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_029,defender payoff,-51.48132625126309,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_030,attacker payoff,24.11892168763916,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_030,defender payoff,-50.60454575536364,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_031,attacker payoff,24.413332478053054,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_031,defender payoff,-51.99069301834555,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_032,attacker payoff,25.31482342692093,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_032,defender payoff,-51.92290573086167,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_033,attacker payoff,24.819337545721407,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_033,defender payoff,-50.92940515224206,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_034,attacker payoff,25.341691872663446,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_034,defender payoff,-53.83627911228294,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_035,attacker payoff,24.68441992701307,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_035,defender payoff,-51.58425810372993,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_036,attacker payoff,26.501603200601462,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_036,defender payoff,-51.6484647100096,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_037,attacker payoff,22.857013284267193,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_037,defender payoff,-50.54903488205034,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_038,attacker payoff,26.853419452672558,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_038,defender payoff,-51.07770198775145,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_039,attacker payoff,26.3188382334107,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_039,defender payoff,-50.314862914058,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_040,attacker payoff,24.790312085055767,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_040,defender payoff,-50.1858502816038,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_041,attacker payoff,25.838190950482037,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_041,defender payoff,-50.70895004698935,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_042,attacker payoff,26.271601530419478,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_042,defender payoff,-54.25208137371834,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_043,attacker payoff,23.67665202059597,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_043,defender payoff,-51.752435131252234,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_044,attacker payoff,26.561089328845338,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_044,defender payoff,-50.689768056343325,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_045,attacker payoff,21.917160863645655,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_045,defender payoff,-50.963015207565284,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_046,attacker payoff,24.271052463560647,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_046,defender payoff,-52.69708487205726,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_047,attacker payoff,25.306658549461396,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_047,defender payoff,-49.61276581379248,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_048,attacker payoff,25.59302394674144,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_048,defender payoff,-51.3850959108546,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_049,attacker payoff,23.50354484146394,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_049,defender payoff,-50.98699064672175,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_050,attacker payoff,24.545612676652073,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_050,defender payoff,-50.43350534586284,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_051,attacker payoff,24.43322363157914,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_051,defender payoff,-50.99599707082641,higher,fixed computed attack; vary defense
degree_game,random attack,random,random_attack_052,attacker payoff,24.44999606201118,higher,fixed computed defense; vary attack
degree_game,random defense,random,random_defense_052,defender payoff,-51.34738673762427,higher,fixed computed attack; vary defense
